videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational,brightness,entropy,text_density,subjet_size,background_lightning_ratio,background_color_simplicity,voice_frequencies,non_voice_frequencies,mfcc_shape,mfcc_mean
aircAruvnKk,"But what *is* a Neural Network? | Deep learning, chapter 1",3Blue1Brown,3763560,104543.0,948.0,"three brown one blue,3 brown 1 blue,neural networks,three blue one brown,3 blue 1 brown,machines learning,3brown1blue,3b1b,deep learning,one,Mathematics,blue,three,brown",1153.0,1.0,15.413636969584234,2.73155819747484,5.2191159173581045,26.52651280287998,0.1090436645430808,0.0003234070616883117,3.347055145732008,1.6008501166019178,"[115298, 13]","[18.88595666,13.13757438, 2.8996593 , 2.66991532, 0.77702855, 0.66488092,-1.07115187,-0.82450157,-0.29306816,-0.02938098,-0.48940013,-0.24927298, 0.12196716]"
_QdPW8JrYzQ,This is what happens when you reply to spam email | James Veitch,TED,36813466,774970.0,23242.0,"TED Talk,TED Talks,James Veitch,spam,humor,comedy",589.0,0.0,138.24767359272008,5.305572466430577,7.844695297787192,34.659180607050374,0.4843922663160257,0.0029255495233050845,4.313061698120571,2.163776873781355,"[58831, 13]","[19.55840603, 8.92082843,-0.99341077, 1.57045422, 0.1231632 ,-0.29752726,-0.17574163, 0.43967285,-0.23720986, 0.52145172, 0.03281349,-0.3201708 ,-0.20591581]"
OWJCfOvochA,Quantum Computing Expert Explains One Concept in 5 Levels of Difficulty | WIRED,WIRED,3214954,91094.0,3195.0,"5 levels,quantum computing,quantum,quantum mechanics,computing,talia gershon,ibm,quantum research,computers,quantum computers,talia gershon ibm,binary,super position,quantum property,entanglement,entanglement theory,dilution refrigerator,quantum temperature,computer,quantum properties,physics,scientist,quantum computing expert,quantum states,quantum expert,computer science,quantum explanation,wired,wired.com",1167.0,0.0,119.70840195238308,10.369380746971787,0.7110256039292497,45.809520232371796,3.867515210157477,0.07984233106303419,1.2371782156936435,0.6052420610474745,"[116697, 13]","[18.63522647, 8.60218909, 1.22465979, 1.10169871, 0.47050148,-1.14881619,-0.86248381, 0.0880105 , 0.30590368, 0.2545332 ,-0.51535551, 0.02404642, 0.07837796]"
ZS_kXvOeQ5Y,SQL vs NoSQL or MySQL vs MongoDB,Academind,326956,6138.0,154.0,"sql,nosql,mongodb,mysql,sql vs nosql,mysql vs mongodb,mongodb vs mysql,nosql vs sql,scaling,sql horizontal scaling,what is nosql,what is sql",1290.0,1.0,233.8936254861784,3.1229233046277827,6.960218326065893,35.44552530819337,0.2732666232508097,0.0017941497093023253,1.147389089670813,0.576498477536047,"[128919, 13]","[17.70334021, 9.69642163, 1.60489645, 3.3712241 , 0.68494951, 0.06304351,-0.33100226, 0.20240625, 0.34753949, 0.02228629, 0.10468187, 0.22101154, 0.0462403 ]"
x7qPAY9JqE4,Steve Jobs Introducing The iPhone At MacWorld 2007,superapple4ever,5628261,51418.0,3424.0,"iPhone,1st,Gen,2G,ATT,MacWorld 2007,Steve Jobs,AT&T,Apple,iPod,iOS,App.,iTunes,Phone,Internet,superapple4ever,720p,HD,Touch Screen,iPhone 2G,iPhone introduction,iPhone release",841.0,0.0,47.139330871702406,5.290584356666362,2.500784588675214,25.2598555124096,0.5359521021403499,0.0025916466346153845, 0.7580630238008232,0.4613856328558713,"[84044, 13]","[17.34088113,10.32573537,-1.9338613 , 1.6710396 ,-0.05064061,-0.02876122,-0.05269786, 0.07895622,-0.16704658, 0.29213226, 0.08914762, 0.17399077, 0.15496677]"
9AThycGCakk,Life Lessons From 100-Year-Olds,LifeHunters,12514771,441604.0,4697.0,"christmas,life lessons,life skills,100 years,100 year olds,regrets,centenarians,old,documentaire,secrets of living,levensles,lessen,emotie,emotion,family,people,inspiration,lifehunters,bejaarden,oud,spijt,schattig,familie,advies,luisteren,important,tips,inspiratie,cute,old people,advise,war,survivor,heartwarming,death,citizen,senior citizens,amusement,viral videos,documentary,short documentary,interview,forever,relationship,marriage,life,experience,love,happiness",810.0,0.0,120.34392292791924,9.21141999145465,2.001687216006516,33.937443737139915,2.3816789413519994,0.09094388985339506,3.2507329329753527,1.6376419816777825,"[80915, 13]","[18.51022905,12.23685008, 1.45510398, 1.62108293,-0.08641883,-0.51060874,-0.6160298 , 0.4647621 , 0.07217335, 0.10706819,-0.16625547,-0.16229436, 0.264036  ]"
-ruC5A9EzzE,"The 10,958 Problem - Numberphile",Numberphile,1767287,31176.0,1506.0,"numberphile,numbers",504.0,1.0,157.91924487761275,8.33622248689624,2.557603221259626,31.2182493639989,2.7059428819956195,0.14305190284653466,6.047879255633466,2.986307699026374,"[50343, 13]","[19.02208645,11.44519454, 2.99896119, 0.84002398, 1.22409964,-0.39760069,-0.7718343 ,-0.12971759, 0.29368096, 0.3343505 , 0.13581667, 0.52053586, 0.08806934]"
Lj1a8rdX6DU,What Engineers Found When They Tore Apart Tesla's Model 3,Bloomberg Technology,6174506,47195.0,17365.0,Bloomberg,302.0,0.0,95.71962406790756,9.776580302427906,2.341451787340619,43.751958461407106,2.3032861157915807,0.05910204277663935,21.279484120072535,10.483773770970604,"[30135, 13]","[ 2.17078422e+01, 1.07831119e+01, 2.39874065e+00, 2.41548025e+00, 6.66732831e-01,-8.97873788e-03,-3.54515790e-01, 5.55121795e-01,-3.64321776e-01, 2.61314204e-01,-5.85909022e-02, 8.26365660e-03, 2.81801271e-01]"
Zh3Yz3PiXZw,Alternative Math | Short Film,Ideaman,5200801,103077.0,4840.0,"short film,alternative facts,math,education,2+2,2+2=22,teacher,funny,liberal,helicopter parents,twilight zone,comedy,satire,school,joke,Kellyanne Conway,Donald Trump,Sean Spicer,short,film,president,video,political correctness,politically correct,truth isn't truth",547.0,0.0,95.16131320036301,8.512738086739668,2.492256549873737,39.54985696811869,2.680717539974624,0.14949396306818186,11.778813328371438,6.737574839608511,"[54690, 13]","[ 1.98293404e+01, 1.07039639e+01, 8.17053237e-01, 2.22301807e+00,-3.42984091e-01, 6.06034770e-01,-2.36051735e-03, 2.78011378e-01, 3.80383613e-02, 7.45452851e-03,-2.91415781e-01,-1.06274412e-01, 1.92668949e-01]"
bNpx7gpSqbY,The single biggest reason why start-ups succeed | Bill Gross,TED,2199946,41382.0,942.0,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,Bill Gross (Organization Leader),TED University,business,creativity,technology",401.0,0.0,110.69332954228823,6.6195420557695535,3.170503257887517,28.87261686599794,1.0447280506502117,0.0024655189043209878,6.353106249110091,3.3843180647486184,"[40049, 13]","[ 2.03507199e+01, 1.05032738e+01, 9.18136338e-01, 2.46408321e+00,-4.03038396e-01, 2.45963593e-02,-1.91217992e-01,-4.81068084e-01, 1.05631281e-01, 2.91737171e-01, 1.26526509e-01,-1.49984206e-01,-1.16855617e-02]"
kUr_gdKQ8j4,Anand spent 1:43 mins on 4th move in world blitz semi-final ?!,GJ_Chess,3507648,24327.0,806.0,"Vishwanath Anand,Anand Blitz,Anand funny,Anand Immortal,Funny Chess videos,Funny Chess player video,Funny Chess GM video,Chess,Chess Documentary,Chess Movie,Chess opening,Chess Middle Game,Chess End game,GM,WGM,IM,FM,Jaenisch Variation (C42)",452.0,0.0,137.0174092715011,10.097873187284863,1.9919776404151404,54.764668708028076,2.1846108347587685,0.1445097870879121,9.198067089270332,4.55910092220943,"[45123, 13]","[20.36221946,11.18631678,-0.44000133, 5.61163422,-1.31964542, 1.82944695,-0.89335267, 0.48792367, 0.36213205,-0.51250674, 0.51744864,-0.86202556, 0.73697235]"
h0e2HAPTGF4,11. Introduction to Machine Learning,MIT OpenCourseWare,461075,5252.0,135.0,"machine learning,classification method,Minkowski metric,supervised learning,computer modelling,signal-to-noise,feature vectors,classification model,regression model",3091.0,1.0,115.80953144457628,5.676995166036216,4.277827561254711,36.42884258324359,1.9340264533129248,0.018814998990306947,0.15037494961280395,0.07357154798191912,"[309034, 13]","[16.91918725,10.29639414,-0.7678625 , 1.32370699, 1.42546029,-0.52768566,-0.4435044 ,-0.17625733,-0.48123305, 0.19887786,-0.09152867, 0.24692816, 0.21129927]"
0hVuCWfyHP4,5 CREEPIEST Things Done By Artificial Intelligence Robots...,Top 5 Unknowns,2334483,20613.0,4048.0,"top 5,a.i. robot interview,a.i. robot sophia,a.i. robot,robot creepy,artifical intellegience,creepy robot voice,a.i. robots shut down after creating their own language,creepy robot face,creepy humanoid robot,sophia robot citizen,sophia robot creepy,artificial intelligence robot,elon musk,scary predictions for the future,mysterious,mysterious things,mystery,unsolved mystery",682.0,0.0,113.58721100719791,8.450136559116672,15.192356675790752,44.06673177083334,2.540119760590741,0.049539162294708027,9.782681638673964,4.898958236945777,"[68138, 13]","[19.7721773 ,10.70312089, 2.24424184, 1.38016288, 0.02966924, 0.31284126,-0.30932937, 0.51316589, 0.14207854,-0.02170047,-0.10477396,-0.28792328, 0.10072253]"
QHydkEARVKE,Bobby Fischer's 21-move brilliancy,ChessNetwork,6709248,82154.0,7514.0,"bobby fischer,robert james fischer,robert fischer,bobby fischer vs robert byrne,fischer vs byrne,byrne vs fischer 1963,1963 us chess championship,1964 us chess championship,chess,chessnetwork,chess network",1182.0,0.0,128.47914132548786,7.919802091397072,5.608977141203702,62.867302416637365,5.877429547404548,0.04094454608386077,0.9031750329024254,0.4619542566917844,"[118147, 13]","[ 7.71748089, 7.21823414, 1.49840795, 2.35418916, 0.36542459,-0.52917812,-0.79752233, 0.340115  ,-0.82020691, 0.06957215,-0.09589085,-0.04441088, 0.16974134]"
nKW8Ndu7Mjw,The 7 Steps of Machine Learning (AI Adventures),Google Cloud Platform,1245983,19641.0,523.0,"Machine Learning,TensorFlow,Big Data,Cloud,Artificial intelligence,AI,ML,Prediction,Data Preprocessing,big data processing,Ai adventures,devops,google cloud platform,google cloud,cloud,cloud platform,cloud data,cloud services,google cloud services,product: cloud,fullname: Yufeng Guo,Location: MTV,Team: Scalable Advocacy,Type: DevByte,GDS: Full Production,Other: NoGreenScreen",636.0,1.0,216.62569230821398,3.7353206133847165,3.3400861952039933,23.507354736328125,0.5952457478417829,0.00061798095703125,3.2964754074309086,1.7665065579169545,"(63542, 13)","[19.18439771, 9.83013275, 1.13245629, 1.4809019 , 1.17096152, 0.10728812,-0.44600434, 0.47780933,-0.20862867, 0.32699167,-0.04890342,-0.32878913,-0.0661248 ]"
BR9h47Jtqyw,A friendly introduction to Deep Learning and Neural Networks,Luis Serrano,402669,7421.0,167.0,"machine learning,deep learning,neural networks,artificial intelligence,logistic regression,probability,math,computer science,statistics",2000.0,1.0,246.64437478298612,3.0761719348476433,4.864427897135417,29.47940945095486,0.09220982453816788,0.0006707763671875,0.33116831408865277,0.16054831037104844,"[199996, 13]","[ 1.48310262e+01, 8.49174577e+00,-1.00941467e+00, 3.11350532e+00, 4.86764445e-01,-2.72408684e-01,-7.39890790e-01,-9.15636067e-02,-4.18877830e-01,-5.22465528e-01,-2.66353516e-03, 1.42664653e-02,-1.97521271e-01]"
w82a1FT5o88,How to Start a Speech,Conor Neill,7434941,49707.0,3821.0,"how to start a speech,how to start a speech in english,how to speech,Start a Speech,how to start a speech conor neill,good speech,conor neill speech,conor neill,public speaking training,conor neill videos,mastering public speech,Inspiration,Leadership,Speech,public speaking,IESE Business School,Training,Influence,Persuasion,Development,grabber,presentation skills,communication skills,Speaker,leadership styles,Motivation,attention",527.0,0.0,99.61279370577827,7.4974149067501585,0.3704693232442348,27.72316090965671,2.3469440531495813,0.05158276827830189,3.674156616275771,2.8677294285092403,"[52656, 13]","[ 1.96082523e+01, 1.19059406e+01, 1.02097195e+00, 2.36177873e+00,-3.31778094e-01,-2.50009835e-01,-6.47314771e-01,-1.87519496e-01,-3.66938368e-01, 1.16697140e-01,-6.47620274e-03,-1.05012149e-02, 3.80784451e-02]"
pvf0zSh3rDo,Top 5 programming language in 2019 with Learning Paths,Hitesh Choudhary,331176,9072.0,361.0,"Programming,LearnCodeOnline,Top 5 programming language 2019,Top 5,Top list,programming,php,swift,java,javascript,python,top programming language",1403.0,1.0,173.9991898392707,9.297026913665364,2.9950391860666272,38.06852464536378,1.6313168461749679,0.15688337550044484,0.8737547277258979,0.42835956061348807,"[140282, 13]","[ 1.87500785e+01, 1.28940134e+01, 2.47050441e-01, 1.81093237e+00, 7.88618625e-01,-2.54798440e-01,-1.71123420e+00,-1.45493252e-01, 3.58471312e-01, 5.65503097e-03,-8.17602003e-02,-1.76181036e-01, 2.34758853e-01]"
