videoId,voice_frequencies,non_voice_frequencies,mfcc_shape,mfcc_coeff_1,mfcc_coeff_2,mfcc_coeff_3,mfcc_coeff_4,mfcc_coeff_5,mfcc_coeff_6,mfcc_coeff_7,mfcc_coeff_8,mfcc_coeff_9,mfcc_coeff_10,mfcc_coeff_11,mfcc_coeff_12,mfcc_coeff_13
aircAruvnKk,3.3470551457320084,1.6008501166019178,"[115298, 13]",18.88595666,13.13757438,2.8996592999999997,2.66991532,0.77702855,0.66488092,-1.07115187,-0.82450157,-0.29306816,-0.02938098,-0.48940013,-0.24927298,0.12196716
_QdPW8JrYzQ,4.313061698120571,2.163776873781355,"[58831, 13]",19.55840603,8.92082843,-0.99341077,1.57045422,0.1231632,-0.29752726,-0.17574163,0.43967285,-0.23720986,0.52145172,0.03281349,-0.32017080000000003,-0.20591581
OWJCfOvochA,1.2371782156936435,0.6052420610474745,"[116697, 13]",18.63522647,8.60218909,1.22465979,1.10169871,0.47050148,-1.14881619,-0.86248381,0.0880105,0.30590368,0.2545332,-0.51535551,0.02404642,0.07837796
ZS_kXvOeQ5Y,1.147389089670813,0.576498477536047,"[128919, 13]",17.70334021,9.69642163,1.60489645,3.3712241,0.68494951,0.06304351,-0.33100226,0.20240625,0.34753949,0.02228629,0.10468187,0.22101154,0.046240300000000005
x7qPAY9JqE4,0.7580630238008232,0.4613856328558713,"[84044, 13]",17.34088113,10.32573537,-1.9338613000000002,1.6710396,-0.05064061,-0.02876122,-0.05269786,0.07895622,-0.16704658,0.29213226,0.08914762,0.17399077,0.15496677
9AThycGCakk,3.2507329329753527,1.6376419816777823,"[80915, 13]",18.51022905,12.23685008,1.45510398,1.62108293,-0.08641883,-0.51060874,-0.6160298000000001,0.4647621,0.07217335,0.10706819,-0.16625547,-0.16229436,0.264036
-ruC5A9EzzE,6.047879255633466,2.9863076990263737,"[50343, 13]",19.02208645,11.44519454,2.99896119,0.84002398,1.22409964,-0.39760069,-0.7718343000000001,-0.12971759,0.29368096,0.3343505,0.13581667,0.52053586,0.08806934
Lj1a8rdX6DU,21.27948412007253,10.483773770970604,"[30135, 13]",21.707842199999998,10.7831119,2.39874065,2.41548025,0.666732831,-0.008978737879999999,-0.35451579,0.555121795,-0.36432177600000004,0.261314204,-0.058590902199999996,0.0082636566,0.281801271
Zh3Yz3PiXZw,11.778813328371436,6.737574839608512,"[54690, 13]",19.8293404,10.703963900000002,0.817053237,2.22301807,-0.342984091,0.60603477,-0.00236051735,0.27801137800000003,0.0380383613,0.007454528509999999,-0.29141578100000004,-0.106274412,0.19266894899999998
bNpx7gpSqbY,6.353106249110091,3.3843180647486184,"[40049, 13]",20.350719899999998,10.5032738,0.9181363379999999,2.46408321,-0.403038396,0.024596359300000002,-0.191217992,-0.481068084,0.105631281,0.291737171,0.126526509,-0.149984206,-0.0116855617
