videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds
aircAruvnKk,"But what *is* a Neural Network? | Deep learning, chapter 1",3Blue1Brown,3763560,104543,948,"three brown one blue,3 brown 1 blue,neural networks,three blue one brown,3 blue 1 brown,machines learning,3brown1blue,3b1b,deep learning,one,Mathematics,blue,three,brown",1153.0
_QdPW8JrYzQ,This is what happens when you reply to spam email | James Veitch,TED,36813466,774970,23242,"TED Talk,TED Talks,James Veitch,spam,humor,comedy",589.0
OWJCfOvochA,Quantum Computing Expert Explains One Concept in 5 Levels of Difficulty | WIRED,WIRED,3214954,91094,3195,"5 levels,quantum computing,quantum,quantum mechanics,computing,talia gershon,ibm,quantum research,computers,quantum computers,talia gershon ibm,binary,super position,quantum property,entanglement,entanglement theory,dilution refrigerator,quantum temperature,computer,quantum properties,physics,scientist,quantum computing expert,quantum states,quantum expert,computer science,quantum explanation,wired,wired.com",1167.0
ZS_kXvOeQ5Y,SQL vs NoSQL or MySQL vs MongoDB,Academind,326956,6138,154,"sql,nosql,mongodb,mysql,sql vs nosql,mysql vs mongodb,mongodb vs mysql,nosql vs sql,scaling,sql horizontal scaling,what is nosql,what is sql",1290.0
x7qPAY9JqE4,Steve Jobs Introducing The iPhone At MacWorld 2007,superapple4ever,5628261,51418,3424,"iPhone,1st,Gen,2G,ATT,MacWorld 2007,Steve Jobs,AT&T,Apple,iPod,iOS,App.,iTunes,Phone,Internet,superapple4ever,720p,HD,Touch Screen,iPhone 2G,iPhone introduction,iPhone release",841.0
9AThycGCakk,Life Lessons From 100-Year-Olds,LifeHunters,12514771,441604,4697,"christmas,life lessons,life skills,100 years,100 year olds,regrets,centenarians,old,documentaire,secrets of living,levensles,lessen,emotie,emotion,family,people,inspiration,lifehunters,bejaarden,oud,spijt,schattig,familie,advies,luisteren,important,tips,inspiratie,cute,old people,advise,war,survivor,heartwarming,death,citizen,senior citizens,amusement,viral videos,documentary,short documentary,interview,forever,relationship,marriage,life,experience,love,happiness",810.0
-ruC5A9EzzE,"The 10,958 Problem - Numberphile",Numberphile,1767287,31176,1506,"numberphile,numbers",504.0
Lj1a8rdX6DU,What Engineers Found When They Tore Apart Tesla's Model 3,Bloomberg Technology,6174506,47195,17365,Bloomberg,302.0
Zh3Yz3PiXZw,Alternative Math | Short Film,Ideaman,5200801,103077,4840,"short film,alternative facts,math,education,2+2,2+2=22,teacher,funny,liberal,helicopter parents,twilight zone,comedy,satire,school,joke,Kellyanne Conway,Donald Trump,Sean Spicer,short,film,president,video,political correctness,politically correct,truth isn't truth",547.0
bNpx7gpSqbY,The single biggest reason why start-ups succeed | Bill Gross,TED,2199946,41382,942,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,Bill Gross (Organization Leader),TED University,business,creativity,technology",401.0
kUr_gdKQ8j4,Anand spent 1:43 mins on 4th move in world blitz semi-final ?!,GJ_Chess,3507648,24327,806,"Vishwanath Anand,Anand Blitz,Anand funny,Anand Immortal,Funny Chess videos,Funny Chess player video,Funny Chess GM video,Chess,Chess Documentary,Chess Movie,Chess opening,Chess Middle Game,Chess End game,GM,WGM,IM,FM,Jaenisch Variation (C42)",452.0
h0e2HAPTGF4,11. Introduction to Machine Learning,MIT OpenCourseWare,461075,5252,135,"machine learning,classification method,Minkowski metric,supervised learning,computer modelling,signal-to-noise,feature vectors,classification model,regression model",3091.0
