videoId,title,author,viewCount,likes,dislikes,tags,lengthSeconds,IsEducational
Z5bTMIdn8O4,Calcolo di un integrale definito,Giulio Broccoli,26837,179,12,"Video Lezioni di matematica cura Giulio D. Broccoli,matematica,facileesercizi,svolti,funzioni,geometria analitica,integrali,limiti,disequazioni,matrici,equazioni,sistemi lineari,integrale definito,integrale indefinito",358.0,1
hI9CaQD7P6I,Proof that 1 = 2.,John Hush,3280461,92620,7549,"proof;,2;,Mr.,John,Hush",179.0,1
BxpjA9t4dJE,Simple Pure CSS Spinners,Traversy Media,53288,2920,25,"css spinners,css loaders,css,css3,css animation,css keyframes,css loading,loading spinner",903.0,1
mQ-8gnnieRA,"$50 Fake MacBook Pro vs $1,500 MacBook Pro",Jonathan Morrison,4793187,48419,7498,"Apple,MacBook Pro,Fake MacBook,Fake MacBook Pro,MacBook Pro Clone,MacBook Pro Dummy,Tech,Unboxing,2017,iPhone,Fake iPhone,iphone 7,samsung,iphone 7 plus,airpods,mac,macbook,gadgets,android,new macbook pro,fake,best,jonathan morrison,tld,jet black airpods,samsung galaxy s8,samsung galaxy s8 unboxing,pro,video,airpods review,review,technology,2016,2016 macbook pro,touch bar",267.0,0
eTOKcxIujgE,Eros Ramazzotti - Più Bella Cosa (videoclip),ErosRamazzottiVEVO,66982148,185528,11516,"Eros Ramazzotti,Più Bella Cosa,Pop,Sony BMG Music Entertainment",267.0,0
dUFxaQc7B8k,Top 10 Longest any% Speedruns,EZScape,619767,7582,1286,"Super Mario 64,SM64,any%,speedrun,Biggest,Skips,Glitches,Glitch,Speedrunning,Top 10,Banjo,Spyro,Crash,Jak and Daxter,Legend of Zelda,Link's Awakening,Super,Mario,World,Donkey,Kong,64,Sonic,06,Meat,Boy,Pokemon,Dark,Souls,Legend of Dragoon,Pokemon Stadium 2,Xenogears,Dragon Quest,Final,Fantasy,Gran Turismo,ezscape",681.0,0
STpKoVY2ri8,Mastered UI Goku vs All Goku's Transformations - DragonBall Xenoverse 2,BjornTheBear,3302751,31275,2440,"xenoverse 2,dragon ball super,goku,jiren,vegeta,manga,anime,new dragon ball movie",982.0,0
X32dce7_D48,Why is 0! = 1?,Eddie Woo,3263485,85654,2235,,365.0,1
IOZO13rdhwU,integrali definiti (definizione e proprietà),Claudio Desiderio,9800,128,2,,1037.0,1
w1f6o1HQBvg,Il Volo - Grande amore (Videoclip),IlVoloVEVO,145474922,706007,58874,"Il Volo,IlVolovevo,vevo,official,video,music video,hq,single,album,Grande amore,Columbia,Pop,Il Volo Grande Amore",225.0,0
CvKXdhB_y9I,Top 10 Paper Mario Speedrun Moments in Smash The Record 2015 - IateYourPie STR 2015 Highlights,KoiandDragon,181059,1396,62,"Super Smash Bros. Brawl (Video Game),Super Smash Bros. Melee (Video Game),Super Smash Bros. (Video Game Series),Super Smash Bros. (Video Game),Super Smash Bros. For Nintendo 3DS And Wii U (Video Game),smash the record 2015,best of smash the record 2015,best of smash the record,koianddragon,Speedrun (Website Category),Paper Mario: The Thousand-Year Door (Video Game),iateyourpie paper mario,iateyourpie mario maker,iateyourpie speedrun,paper mario speed run",609.0,0
6S66jorlkeY,Proof that 1 = 2,aggieneer02,10484,68,27,"Proof,that,1,=,2",285.0,1
VcOCCrKlXRM,Laura Pausini-Strani Amori,mateus2156,17220546,48813,2660,"laura,pausini,strani,amori,italy,song,finland,speedstream,speedstream130",256.0,0
8N1cKs9JRq0,Top 10 Must Have MacBook Pro Accessories for 2017,Pro Hacker,907072,3977,1553,"prophethacker,macbook accessories,macbook pro accessories,apple macbook pro accessories,apple macbook accessories,macbook pro 2016,macbook,macbook 2016,apple macbook 2016,apple,best macbook pro accessories,macbook pro 2016 review,macbook pro 16 accessories,apple macbook,macbook pro 16 usb hub,macbook pro 16 stand,macbook pro,2016 macbook pro,2016 macbook,gadgets,tech,technology,retina display,2016,12 inch macbook,touch bar,touchbar,accessoris,amazon,usb-c",990.0,0
wutztfYqk0I,Top 10 Cringey Unluckiest Speedrun FAILS!,TheGamer,1437765,8560,4947,"speed run,choke,fail,Twitch,RNG,bad luck,Pokemon,Wind Waker,Super Mario,random,so close,Streamer,Final Fantasy 10,10,List,Fun,Funny,Family,Kids,Friends,Video,Movies,Popular,Entertaining,Entertainment,Video games,Games,Glitches,Glitch,Hidden,Secrets,Boss,cringey",659.0,0
5njUvlLWoRI,2+2=6 proof by calculus,S.Ramanujan Mind,1637041,9341,6799,"bb ki vines,shirley setia,2+2=5,2+2=6,1=2 proof,hinglish facts,total hack,sanam,technical guruji,ytadvise,my smart support,mathbff,Numberphile,s.ramanujan mind,Ramanujan,aaiye sikhte hai",290.0,1
